SYMBOL,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,SETTLE_PR,TIMESTAMP
ACC,1751.8,1796.0,1751.8,1768.7,1768.7,2788.0,19789.98,1150000.0,-24800.0,1768.7,11-Aug-17
ADANIENT,113.9,116.2,106.7,113.95,113.95,2979.0,26870.09,24256000.0,40000.0,113.95,11-Aug-17
ADANIPORTS,382.9,387.45,380.75,385.2,385.2,2894.0,27793.65,6917500.0,85000.0,385.2,11-Aug-17
ADANIPOWER,27.5,28.15,26.1,27.3,27.3,1138.0,6192.44,94160000.0,-180000.0,27.3,11-Aug-17
AJANTPHARM,1207.0,1249.95,1203.4,1229.0,1229.0,816.0,4011.98,557600.0,-11600.0,1229.0,11-Aug-17
ALBK,64.8,67.55,63.15,64.85,64.85,2918.0,19095.29,15540000.0,270000.0,64.85,11-Aug-17
AMARAJABAT,795.0,813.05,786.4,803.45,803.45,957.0,4596.04,1458000.0,-96000.0,803.45,11-Aug-17
AMBUJACEM,267.7,269.8,263.8,264.65,264.65,1380.0,9202.05,9030000.0,82500.0,264.65,11-Aug-17
ANDHRABANK,50.7,51.45,49.1,49.6,49.6,1804.0,9056.72,23530000.0,-450000.0,49.6,11-Aug-17
APOLLOHOSP,1204.05,1239.05,1198.0,1221.05,1221.05,805.0,4935.51,1098500.0,6000.0,1221.05,11-Aug-17
APOLLOTYRE,259.1,263.5,253.25,258.45,258.45,4376.0,33959.05,11412000.0,-375000.0,258.45,11-Aug-17
ARVIND,364.9,373.9,358.3,366.6,366.6,2901.0,21280.46,6234000.0,-222000.0,366.6,11-Aug-17
ASHOKLEY,101.3,106.0,99.15,103.1,103.1,5249.0,37903.34,44667000.0,-1099000.0,103.1,11-Aug-17
ASIANPAINT,1144.4,1152.15,1123.85,1145.05,1145.05,3026.0,20647.77,2668200.0,126000.0,1145.05,11-Aug-17
AUROPHARMA,677.95,712.3,673.0,707.3,707.3,10950.0,60895.66,12508800.0,-44800.0,707.3,11-Aug-17
AXISBANK,484.95,494.75,481.0,491.85,491.85,13375.0,78536.25,31992000.0,-583200.0,491.85,11-Aug-17
BAJAJ-AUTO,2794.75,2806.1,2760.7,2797.1,2797.1,1951.0,13586.11,1151250.0,-4750.0,2797.1,11-Aug-17
BAJAJFINSV,4963.0,5189.95,4920.0,5015.95,5015.95,2982.0,18861.13,378625.0,31375.0,5015.95,11-Aug-17
